Sr. No.,Name ,Travelledabroad
1,Asmita,Y
2,Anita,Y
3,Yashodhan,N
4,Rangappa,Y
5,Kamala,Y
6,Kirti,N
7,Abhijit,N
8,Sunil,N
9,Premanand,N
10,Sandip,N
11,Shraddha,Y
12,Chandrashekhar,Y
13,Manpreet,Y
14,Gurpreet,N
15,Nityanand,N
16,Soumendu,Y
17,Nithya,Y
18,Nachiket,N
19,Yadnesh,N
20,Yadunath,Y
21,Nancy,Y
22,Babulal,Y
23,Jiten,Y
24,Shaunak,N
25,Sukhbeer,N
26,Achintya,N
27,Meghana,Y
28,Sanjukta,Y
29,Adhiraj,Y
30,Prithvi,N
31,Lily,Y
32,Priyamvada,Y
33,Ranjan,Y
34,Rasiklal,Y
35,Shilpa,N
36,Kshipra,N
37,Sanyogita,N
38,Bhanwarlal,N
39,Banwarilal,N
40,Meghnaad,Y
41,Sindhu,Y
42,Sushila,Y
43,Dibyendu,Y
44,Ram,N
45,Swaminathan,N
46,Karthick,N
47,Lallan,Y
48,Brijbhushan,Y
49,Niharikadevi,Y
50,Mandar,N
51,Apporba,Y
52,Manohar,Y
53,Prakash,Y
54,Sajjansingh,Y
55,Satbirsingh,N
56,Satpalsingh,Y
57,Selvarajam,N
58,Poornendu,N
59,Sanjeev,N
60,Anahita,Y
61,Vaidehi,N
62,Subhadradevi,N
63,Jignesh,Y
64,Sejal,Y
65,Surinder,Y
66,Balwinder,N
67,Mansoor,N
68,Shadab,Y
69,Seems,Y
70,Sunayana,N
71,Ruchi,N
72,Naseem,Y
73,Xaviar,Y
74,Sylvester,Y
75,Anand,Y
76,Debashri,Y
77,Mukul,N
78,Manmeet,N
79,Chetan,Y
80,Yangchen,Y
81,Sanamacha,Y
82,Shubhra,N
83,Saumil,Y
84,Antara,Y
85,Phulwadevi,Y
86,Mahendra,Y
87,Rudrapratap,N
88,Vidya,N
89,Sharanrani,Y
90,Vasundhara,Y
91,Mohanlal,Y
92,Murarilal,Y
93,Omprakash,N
94,Sajid,N
95,Mallika,N
96,Gangadevi,Y
97,Rameshwar,N
98,Rambharan,Y
99,Rutwik,Y
100,Shambhavi,N
101,Annette,Y
102,Felicia,N
103,Quinton,N
104,Mansukh,Y
105,Tejinder,N
106,Ramesh,Y
107,Aditi,Y
108,Vilas,N
109,Vajidali,N
110,Vincent,Y
111,Ambadas,Y
112,Amruta,N
113,Azeez,Y
114,Vikram,Y
115,Vinita,Y
116,Vishwabandhu,N
117,Senthil,Y
118,Varadraajam,N
119,Latika,Y
120,Gulab,Y
121,Tarun,Y
122,Pranav,N
123,Maanavendra,N
124,Dhananjay,Y
125,Celine,N
126,Sylvia,Y
127,Narmada,Y
128,Shrutika,Y
129,Kalapini,Y
130,Bijoy,N
131,Sanjay,N
132,Nibedita,N
133,Anupama,Y
134,Narsimhan,Y
135,Mahalingam,Y
136,Murugan,Y
137,Manojaya,N
138,Nishit,N
139,Mukutbihari,N
140,Chandraprasad,N
141,Dinanath,Y
142,Suryapratap,Y
143,Ummaidsingh,N
144,Ratanpal,Y
145,Saumya,Y
146,Nilofer,N
147,Laetetia,N
148,Bina,N
149,Veena,N
150,Chokkalingam,Y
